path,filename,split,class,width,height,channels,aspect_ratio,total_pixels,file_size_kb,mode,mean_r,mean_g,mean_b,std_r,std_g,std_b,channel_variance,is_grayscale_like,mean_intensity,std_intensity,min_intensity,max_intensity,dynamic_range,brightness,contrast,sharpness,edge_density,hist_entropy,unique_values,is_uniform,is_valid
chest_xray_dataset/train/normal/normal-4185.jpg,normal-4185.jpg,train,normal,1024,1024,3,1.0,1048576,109.794921875,RGB,109.15382194519043,109.15382194519043,109.15382194519043,76.73752462487535,76.73752462487535,76.73752462487535,0.0,True,109.15382194519043,76.73752462435584,0,255,255,109.15382194519043,76.73752462435584,90.3523418034856,0.006901741027832031,4.593027,256,False,True
chest_xray_dataset/train/normal/normal-1043.jpg,normal-1043.jpg,train,normal,1024,1024,3,1.0,1048576,135.6572265625,RGB,105.7391414642334,105.7391414642334,105.7391414642334,35.52283462497436,35.52283462497436,35.52283462497436,0.0,True,105.7391414642334,35.522834624923256,0,255,255,105.7391414642334,35.522834624923256,23.35485254318246,0.001033782958984375,4.571766,215,False,True
chest_xray_dataset/train/normal/normal-4843.jpg,normal-4843.jpg,train,normal,1024,1024,3,1.0,1048576,180.6884765625,RGB,129.93234062194824,129.93234062194824,129.93234062194824,65.8483554425197,65.8483554425197,65.8483554425197,0.0,True,129.93234062194824,65.84835544289157,0,255,255,129.93234062194824,65.84835544289157,71.7803708851778,0.011137962341308594,5.358709,256,False,True
chest_xray_dataset/train/normal/normal-7133.jpg,normal-7133.jpg,train,normal,1024,1024,3,1.0,1048576,158.1689453125,RGB,140.94005966186523,140.94005966186523,140.94005966186523,63.01991384602082,63.01991384602082,63.01991384602082,0.0,True,140.94005966186523,63.01991384601011,0,254,254,140.94005966186523,63.01991384601011,106.94750376889351,0.0065250396728515625,5.28988,254,False,True
chest_xray_dataset/train/normal/normal-1484.jpg,normal-1484.jpg,train,normal,1024,1024,3,1.0,1048576,171.90625,RGB,148.52280235290527,148.52280235290527,148.52280235290527,45.16223213486903,45.16223213486903,45.16223213486903,0.0,True,148.52280235290527,45.16223213456063,0,255,255,148.52280235290527,45.16223213456063,31.177987217190093,0.011082649230957031,5.112868,247,False,True
chest_xray_dataset/train/normal/normal-7617.jpg,normal-7617.jpg,train,normal,1024,1024,3,1.0,1048576,130.7001953125,RGB,109.68206596374512,109.68206596374512,109.68206596374512,64.1144089736344,64.1144089736344,64.1144089736344,0.0,True,109.68206596374512,64.11440897391888,0,255,255,109.68206596374512,64.11440897391888,167.11175327165984,0.005087852478027344,5.1186476,256,False,True
chest_xray_dataset/train/normal/normal-7652.jpg,normal-7652.jpg,train,normal,1024,1024,3,1.0,1048576,185.7353515625,RGB,101.19987297058105,101.19987297058105,101.19987297058105,64.7799313732954,64.7799313732954,64.7799313732954,0.0,True,101.19987297058105,64.7799313726933,0,255,255,101.19987297058105,64.7799313726933,92.9768425978109,0.013986587524414062,5.245699,256,False,True
chest_xray_dataset/train/normal/normal-5858.jpg,normal-5858.jpg,train,normal,1024,1024,3,1.0,1048576,126.3037109375,RGB,155.01844215393066,155.01844215393066,155.01844215393066,49.43190386886643,49.43190386886643,49.43190386886643,0.0,True,155.01844215393066,49.43190386831423,0,255,255,155.01844215393066,49.43190386831423,180.836421750586,0.007611274719238281,4.964496,256,False,True
chest_xray_dataset/train/normal/normal-3111.jpg,normal-3111.jpg,train,normal,512,512,3,1.0,262144,49.7939453125,RGB,116.50968170166016,116.50968170166016,116.50968170166016,79.4584910975487,79.4584910975487,79.4584910975487,0.0,True,116.50968170166016,79.45849109761505,0,253,253,116.50968170166016,79.45849109761505,146.97812040377175,0.04080963134765625,4.837219,254,False,True
chest_xray_dataset/train/normal/normal-3480.jpg,normal-3480.jpg,train,normal,1024,1024,3,1.0,1048576,155.7529296875,RGB,124.61991691589355,124.61991691589355,124.61991691589355,66.60858567143244,66.60858567143244,66.60858567143244,0.0,True,124.61991691589355,66.608585671782,0,255,255,124.61991691589355,66.608585671782,112.79232788085938,0.012165069580078125,5.22523,256,False,True
